session_id,timestamp,user_input,emotions,distress,empathetic_reply,session_start,session_end,session_duration
bbe2d149-6ca0-4742-a9ba-e59502554de6,2025-09-11T18:04:58.393468,hello,"[[""neutral"", 0.9615991115570068]]","[[""Normal"", 0.8664751052856445]]","I’m here with you 🤝
It’s wonderful to be in a good place 🌟",,,
bbe2d149-6ca0-4742-a9ba-e59502554de6,2025-09-11T18:05:10.519930,how are you?,"[[""curiosity"", 0.8954654932022095], [""neutral"", 0.6731707453727722]]","[[""Normal"", 0.9284160733222961]]","Exploring new ideas is wonderful ✨
It’s wonderful to be in a good place 🌟",,,
bbe2d149-6ca0-4742-a9ba-e59502554de6,2025-09-11T18:05:59.441620,i am feeling very happy to talk with you,"[[""joy"", 0.9862307906150818]]","[[""Normal"", 0.9325520396232605]]","Keep shining with your happiness ✨
It’s wonderful to be in a good place 🌟",,,
bbe2d149-6ca0-4742-a9ba-e59502554de6,2025-09-11T18:06:15.923364,"I’m happy for them, but I feel lonely inside","[[""sadness"", 0.9197692275047302], [""joy"", 0.8993453979492188], [""disappointment"", 0.21028195321559906]]","[[""Normal"", 0.7377713918685913]]","It’s okay to feel down, I’m here 🤗
It’s wonderful to be in a good place 🌟",,,
bbe2d149-6ca0-4742-a9ba-e59502554de6,2025-09-11T18:06:30.239731,That was totally unexpected,"[[""surprise"", 0.9400469660758972]]","[[""Normal"", 0.9278352856636047]]","I didn’t see that coming either 😮
I’m glad you’re feeling stable 💚",,,
bbe2d149-6ca0-4742-a9ba-e59502554de6,2025-09-11T18:06:51.817191,"I’m nervous about the interview, but also excited","[[""excitement"", 0.4904235899448395], [""fear"", 0.4574703872203827], [""nervousness"", 0.3968445062637329]]","[[""Anxiety"", 0.7942650318145752]]","That’s so exciting! 🎉
I’m here with you 💙",,,
bbe2d149-6ca0-4742-a9ba-e59502554de6,2025-09-11T18:07:36.508890,I feel grateful but anxious about the future,"[[""gratitude"", 0.8419249057769775], [""fear"", 0.5284956097602844], [""nervousness"", 0.3264769911766052]]","[[""Anxiety"", 0.9002981185913086]]","Gratitude is such a beautiful feeling 🌸
Your feelings matter ❤️",,,
bbe2d149-6ca0-4742-a9ba-e59502554de6,,,,,,2025-09-11T18:04:54.639042,2025-09-11T18:08:17.815944,0:03:23.176902
3d157947-2955-4f9e-a18c-f5026427cf99,2025-09-12T00:10:39.999553,I feel like nothing is working out in my life. ,"[[""disappointment"", 0.8222987055778503], [""neutral"", 0.49588823318481445], [""sadness"", 0.4815642237663269], [""realization"", 0.28783467411994934], [""annoyance"", 0.25493061542510986]]","[[""Depression"", 0.7207769751548767]]","Your feelings are valid, better days will come 🌤
Thank you for opening up 🙏",,,
3d157947-2955-4f9e-a18c-f5026427cf99,2025-09-12T00:11:38.029978,I just got my dream job today!  ,"[[""excitement"", 0.9046146273612976], [""joy"", 0.5413563847541809], [""optimism"", 0.30498063564300537], [""approval"", 0.25508978962898254]]","[[""Normal"", 0.8705470561981201]]","It’s amazing to look forward to things ✨
Keep taking care of yourself 🌈",,,
